name,id,cg
台驊投控,2636, '海陸空貨運承攬'
慧洋-KY,2637, '散裝航運'
大車隊,2640,"'電子商務','電子商務:交易撮(媒)合'"
正德,2641, '散裝航運'
宅配通,2642, '海陸空貨運承攬'
捷迅,2643, '海陸空貨運承攬'
長榮航太,2645, '海陸空大眾運輸'
萬企,2701,'娛樂服務業'
華園,2702,'旅館'
國賓,2704,'旅館'
六福,2705,'娛樂服務業'
第一店,2706,'旅館'
晶華,2707,'旅館'
遠雄來,2712,'旅館'
晶悅,2718,'建商'
燦星旅,2719,'旅遊'
夏都,2722,'旅館'
美食-KY,2723,"'食品','餐飲連鎖'"
藝舍-KY,2724,'旅館'
雅茗-KY,2726,"'食品','餐飲連鎖'"
王品,2727,"'食品','餐飲連鎖'"
瓦城,2729,"'食品','餐飲連鎖'"
雄獅,2731,'旅遊'
六角,2732,"'食品','餐飲連鎖'"
易飛網,2734,'旅遊'
富野,2736,'旅館'
寒舍,2739,'旅館'
天蔥,2740,"'食品','餐飲連鎖'"
山富,2743,'旅遊'
五福,2745,'旅遊'
雲品,2748,'旅館'
豆府,2752,"'食品','餐飲連鎖'"
八方雲集,2753,"'食品','加工食品','餐飲連鎖'"
亞洲藏壽司,2754,"'食品','餐飲連鎖'"
揚秦,2755,"'食品','餐飲連鎖'"
聯發國際,2756,"'食品','餐飲連鎖'"
彰銀,2801,'金融'
京城銀,2809,'金融'
台中銀,2812,"'金融','租賃業','證券業','金融"
旺旺保,2816,'金融'
華票,2820,'金融'
台產,2832,'金融'
臺企銀,2834,"'金融','租賃業','證券業','金融"
高雄銀,2836,'金融'
聯邦銀,2838,"'金融','證券業','金控業_銀行業_保"
遠東銀,2845,'金融'
安泰銀,2849,'金融'
新產,2850,'金融'
中再保,2851,'金融'
第一保,2852,'金融'
統一證,2855,"'金融','證券業'"
三商壽,2867,"'金融','金融科技"
華南金,2880,'金融'
富邦金,2881,'金融'
國泰金,2882,'金融'
開發金,2883,'金融'
玉山金,2884,'金融'
元大金,2885,'金融'
兆豐金,2886,'金融'
台新金,2887,'金融'
新光金,2888,'金融'
國票金,2889,'金融'
永豐金,2890,'金融'
中信金,2891,'金融'
第一金,2892,'金融'
王道銀行,2897,'金融'
欣欣,2901,"'貿易百貨','零售通路'"
遠百,2903,"'貿易百貨','零售通路'"
匯僑,2904,
三商,2905,"'貿易百貨','零售通路'"
高林,2906,"'貿易百貨','貿易商、代理商、經銷商'"
特力,2908,"'貿易百貨','貿易商、代理商、經銷商'"
統領,2910," '建設業','貿易百貨'"
麗嬰房,2911,"'貿易百貨','零售通路'"
統一超,2912,"'貿易百貨','零售通路'"
農林,2913,"'其他',  '"
潤泰全,2915,"'貿易百貨','貿易商、代理商、經銷商'"
滿心,2916,"'貿易百貨','製造商','貿易商"
鼎固-KY,2923," '建設業','物業管"
宏太-KY,2924,"'貿易百貨','製造商','零售通"
誠品生活,2926,"'文化創意業','創意生活產業','貿易百"
淘帝-KY,2929,"'紡織','貿易百貨"
集雅社,2937,"'貿易百貨','零售通路'"
凱羿-KY,2939,"'貿易百貨','貿易商、代理商、經銷商'"
三商家購,2945,"'貿易百貨','零售通路'"
振宇五金,2947,"'貿易百貨','零售通路'"
寶陞,2948,"'貿易百貨','貿易商、代理商、經銷商'"
欣新網,2949,"'電子商務','電子商務:一般零售','電子商務:店點"
歐格,3002,"'其他','通信"
健和興,3003,"'其他','其他電子產品及電子服"
豐達科,3004,"'航太週邊','航太週邊:航空零組件','鋼鐵'"
神基,3005,"'PC','機殼'"
晶豪科,3006,"'半導體','記憶體IC'"
大立光,3008,"'PC','光學鏡片、鏡頭'"
華立,3010,"'半導體','IC通路','化學品',"
今皓,3011,"'通信網路','線材','連接"
晟銘電,3013,"'PC','機殼'"
聯陽,3014,"'元宇宙','高速傳輸','半導體','半導"
全漢,3015,"'LED','燈具_應用'"
嘉晶,3016,"'半導體','晶圓製造'"
奇鋐,3017,"'PC','散熱片、風扇馬達、"
隆銘綠能,3018," '機電工程','電機', "
亞光,3019,"'PC','光學鏡片、鏡頭',"
鴻名,3021,"'軟體服務','系統整合服務','連接器',"
威強電,3022,"'PC','主機板'"
信邦,3023,"'LED','燈具_應用'"
憶聲,3024,"'面板','監視器_顯示器','平面"
星通,3025,'通信網路'
禾伸堂,3026,"'LED','封裝_模組'"
盛達,3027,"'通信網路','光通訊設備(如光纖電纜、光傳輸"
增你強,3028,"'半導體','IC通路','PC',"
零壹,3029,"'AI','機器學習','系統"
德律,3030,"'半導體','生產製程及檢測設備','印刷電路"
佰鴻,3031,"'LED','封裝_模組'"
偉訓,3032,"'PC','機殼'"
威健,3033,"'半導體','IC通路'"
聯詠,3034,"'面板','驅動IC'"
智原,3035,"'半導體','IP設計_IC設計代工服務'"
文曄,3036,"'半導體','IC通路'"
欣興,3037,"'PCB','硬板、軟板、IC載板製造'"
全台,3038,"'其他','平面"
遠見,3040,
揚智,3041,"'半導體','消費性IC'"
晶技,3042,"'被動元件','濾波器、振盪器'"
科風,3043,"'其他','太陽"
健鼎,3044,"'PCB','硬板、軟板、IC載板製造'"
台灣大,3045,"'通信網路','電信服務業'"
建碁,3046,'PC'
訊舟,3047,'通信網路'
益登,3048,"'半導體','IC通路'"
精金,3049,"'觸控面板','觸控面板:觸控面板'"
鈺德,3050,"'太陽能產業','太陽能電廠'週"
力特,3051,"'面板','其他零組件'"
夆典,3052,"'LED','封裝_模組'"
立萬利,3054,"'半導體','IC模組','食品生技','食"
蔚華科,3055,"'其他','半導"
富華新,3056,'建商'
喬鼎,3057,"'大數據','儲存處理','分析工具'"
立德,3058,"'通信網路',  '電動車輛產業"
華晶科,3059,"'PC','光學鏡片、鏡頭'"
銘異,3060,'PC'
建漢,3062,"'太空衛星科技','太空衛星科技:低軌衛星'"
