代碼,股本,ROE%,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
3019,27.92,4.86,28.85,2.17,36.71,-9.6,50.0,,,,2024/09,
3024,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3025,5.67,8.96,21.86,5.82,43.17,14.61,-6.09,,,,2024/09,
3027,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3029,16.70,9.66,20.65,3.88,35.82,4.97,39.56,,,,2024/09,
3030,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3032,11.33,10.28,9.53,2.32,-16.59,5.21,16.94,,,,2024/09,
3033,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3034,60.85,23.79,14.61,4.8,-6.72,-7.87,-13.61,,11/6法說會,,2024/09,
3035,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3036,111.64,4.47,20.53,1.44,34.38,3.65,118.15,,11/5法說會,,2024/09,
3037,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3042,34.30,8.81,18.2,3.11,16.94,7.88,49.3,,,,2024/09,
3044,52.56,8.61,13.02,2.24,5.42,-1.34,82.11,,,,2024/09,
3045,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3047,22.37,3.77,0.0,3.05,61.37,-17.7,209.92,,,,2024/09,
3048,26.98,1.24,82.55,2.07,2.31,12.76,234.54,,,,2024/09,
3049,80.20,-4.72,0.0,1.06,77.5,-3.61,-42.64,,,,2024/09,
3050,15.50,2.85,31.13,1.19,-12.66,0.0,35.42,,,,2024/09,
3051,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3055,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3056,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3059,27.88,2.25,27.3,1.03,-14.75,4.15,23.66,,,,2024/09,
3060,13.76,1.87,0.0,1.47,25.31,5.73,126.75,,,,2024/09,
3062,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3073,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3078,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3081,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3092,10.66,-2.30,0.0,1.71,-15.56,-10.54,40.0,,,,2024/09,
3105,42.39,1.80,38.83,1.39,-10.56,-17.69,187.5,,9月營收12.36億元,,2024/09,
3131,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3147,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3149,18.62,-2.93,0.0,3.38,44.05,10.78,-41.47,,,,2024/09,
3163,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3167,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3188,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3189,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3209,23.27,7.31,14.24,2.01,-10.34,-42.01,60.26,,,,2024/09,
3211,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3213,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3217,9.01,9.98,16.45,3.55,16.29,-1.87,66.95,,,,2024/09,
3227,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3228,6.98,2.16,0.0,29.19,-20.53,-15.71,118.34,,9月營收0.24億元,,2024/10,
3229,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3230,8.60,42.85,16.85,3.89,-46.86,-6.48,395.41,,,,2024/09,
3231,289.68,9.92,20.83,2.97,24.42,7.89,96.57,,,,2024/09,
3234,11.15,-16.93,0.0,4.75,-17.85,3.62,-3.06,,,,2024/09,
3260,29.59,11.37,8.69,1.63,-2.65,7.43,437.02,,,,2024/09,
3264,49.02,9.35,12.23,1.49,-16.43,-5.53,-22.62,,9月營收10.71億元，11/1法說會,,2024/09,
3265,13.63,10.59,18.32,2.38,6.07,-5.01,-8.03,,9月營收3.42億元,2024/12/18,2024/09,
3284,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3289,7.44,8.48,32.52,4.14,32.9,1.4,40.62,2024/11/07,11/7除息1.00元,,2024/09,
3290,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3293,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3294,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3305,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3312,16.26,7.26,24.2,3.78,2.37,-5.52,130.73,,,2024/12/10,2024/09,
3313,16.88,14.70,11.19,1.58,-95.46,-65.88,3319.56,,,,2024/09,
3322,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3324,9.15,14.03,32.18,7.17,15.31,-0.06,100.31,,9月營收14.24億元,,2024/09,
3338,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3339,6.66,2.25,112.08,2.9,31.19,5.11,59.78,,,,2024/09,
3356,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3362,14.25,6.60,62.12,9.35,9.51,0.18,108.95,,,,2024/09,
3363,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3374,27.14,8.12,35.57,7.05,5.08,-0.38,52.36,,,,2024/09,
3376,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3379,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3380,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3390,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3406,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3413,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3430,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3437,14.45,-2.93,0.0,1.43,-29.47,-31.15,-12.08,,,,2024/09,
3443,13.40,25.87,47.7,15.14,-24.15,-9.32,-6.87,,9月營收17.64億元,,2024/09,
3450,14.57,4.73,357.26,8.11,63.12,21.2,316.53,,,,2024/09,
3455,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3466,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3479,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3481,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
